text	label	source	textid
Today was a very busy day at work.  We had corporate visitors and had to be on our best behavior.  I also had to make a prewsentation about my section to the corporate people.  It went well, and I glad to be done with it.	neutral	journal	0
I got to spend time with my family today which was important to me.	joy	journal	1
I ate a sandwich that I enjoyed for lunch. It was very delicious and satisfying. I was looking forward to eating it.	excitement	journal	2
I had lunch with me aunt and we discussed my future plans and I talked about the shortcomings that I thought could hold me back from achieving what I desire to. It made me feel anxious to talk about, and when she went on to tell an interminably long and irrelevant story I became a bit fidgety.	nervousness	journal	3
Got to spend the evening with my family.  We were just chilling and chatting about our days (work and school)	joy	journal	4
I got chipolte and I loved it. It was very comforting after a long day.	joy	journal	5
i had a good workout ad consider fitness and exercise important to my identity and well being.	pride	journal	6
I attended a study group with friends. I looked forward to going and had a great time. I was able to say things that were on my mind and to listen to others as well. Very encouraging.	surprise	journal	7
spending time with my family is what I do everyday. its something that makes me really happy	pride	journal	8
I knew God would help me through whatever was going on and so I didn't have to be anxious	neutral	journal	9
I had a work and a project I am working on.	pride	journal	10
I felt quite excited satisfied and happy to complete my exercise routine.	excitement	journal	11
I spent a lovely time with my romantic partner. She and I had a very enjoyable discussion that was serious at times yet filled with laughter. I felt lighthearted after the busy day that I had just from talking and laughing with her. She manages to make me feel happy or calm whenever I've had a long day. Talking with her never gets boring because I honestly have no idea what we'll talk about. Our topics are wide and varied, and I feel like I'm constantly learning something new whenever I am with her. She's a joy to be around, and she make me feel loved.	pride	journal	12
God was a salient thing because without his blessings I am no one. I felt yesterday he was watching over me greatly and the results of my day was wonderful because of him.	pride	journal	13
Yesterday, I really felt the importance of my health. I went on a bit longer hike than usual and was very happy that I could do so. It really made me appreciate my health. With all the news of people dying and the tragedy of the Utah family murder in Mexico, it really made me aware of the importance of my own health and well being.	joy	journal	14
TodayI got further on our business and was able to successfully redo the index page for our website.	pride	journal	15
Work was very frustrating and a lot is being dumped on me due to so many people leaving.  I had a meeting with my supervisor and another supervisor and coworker to try to distribute the work, but all-in-all nothing happened.	nervousness	journal	16
Recovering from a surgery and feels great to be healthy.	neutral	journal	17
I felt very calm and relaxed yesterday while I was relaxing and reading. It was a very nice thing and I like to do it everyday.	neutral	journal	18
I have a big bill I need to pay in a few days, so after work I tried really hard to make money on mTurk to make up the difference.	nervousness	journal	19
I have the best family anyone could want. My beautiful wife made a great dinner and homemade pie, which I love. My daughter brought home a school project that she made all by herself, and got an A on. She was so proud and I felt even prouder of her. She's an amazing child and she'll do well in life.	pride	journal	20
