textid	text	label	source
0	Dinner was cream of potato soup and fresh bread.  The house smelled of the bread rising in the bread machine and potato soup is so easy to make yet I don't often.  It brought back memories of my Dad since he used to make it often when I was growing up.	neutral	journal
1	I was having a lot of stomach issues. I had no idea why. Maybe I was just anxious. I was thinking about an old friend for a long, long time.	fear	journal
2	I had trouble sleeping last night	anger	journal
3	My brother came from Arizona to help me in recovering a bit more from surgery last week.	joy	journal
4	Going on the treadmill made me relieve stress and made me feel relaxed.	excitement	journal
5	I was happy about the exercise I was doing yesterday. I am trying to take part in an exercise challenge so every week I increase my activity. The activity increases have been going really well. I feel more energized when I exercise and I feel calmer and happier overall.	excitement	journal
6	I was acting very worried for no good reasons and realized how silly I felt.	neutral	journal
7	I had some really disturbing dreams last night. In one I was struggling to stay afloat in water and in another a gunman attacked and just when I thought I was safe someone came and stabbed me in the back. Not good feelings.	nervousness	journal
8	I talked to both my kids yesterday on the phone. It made me very happy.	joy	journal
9	Yesterday I was reminded of how loved and appreciated I am. I was reminded that the people I care about care about me as well and that I am important to them	joy	journal
10	After hearing the result from my relative, I need some time reflecting about myself. I prayed that she will be healed and I imagine how I feel when I am in her position. Maybe death won't be so bad because I can meet God then.	neutral	journal
11	After a long tiring day, I decided to treat myself and ordered a pizza for dinner.  It was delicious and I ate a bit too much.	excitement	journal
12	I took Abbie, my four year old daughter, to the library. We made a day out of it. I drove downtown and then we went in several shops and window shopped others. We had a great time capping it off with returning our books to the library and picking out new books. It is so great to see Abbie show a love of reading and to see just how much effort she puts into finding the perfect books for her. I feel proud as she is so excited to go to the library but then is so patient, well behaved and serious when we are in the library.	pride	journal
13	I started working out again. I have been feeling out of shape but since it is winter, I want to start working out again. I feel happy and strong now.	excitement	journal
14	I watched as my son was playing and realized how fast time is going. How much he has grown. It is going by so fast. His happiness means everything to me.	joy	journal
15	I started knitting a hat yesterday. I made good progress on the ribbed part of the hat and I used my new needles. They're really nice.	joy	journal
16	I was surprised to get a message from a friend from long ago, but I was really happy to hear from her. She was my best friend in college, so it brought back some memories that were very nice to recall and reminisce on. I think I'd like to talk to her more often, if I can remember to. I've just been so busy every day, it's hard to remember to talk to other people sometimes.	surprise	journal
17	I also was so happy to sleep in my own bed after a relaxing day with my family.  Being away for 5 days really makes you appreciate being home and catching up on sleep!	neutral	journal
18	I love to cook and I was anxious to try a new recipe for a caprese grill cheese sandwich. I tweaked the recipe by roasting the tomatoes first and I was proud with myself that it came out even better than expected. I was super happy while I enjoyed my sandwich.	joy	journal
19	My picky son asked for a meatball for dinner. This is a bog deal, as he doesnt like new foods and I finally convinced him to eat one	pride	journal
20	i had good crepes	neutral	journal
21	My spouse and I met our best friend for dinner and had a great time all together. We talked for hours, laughed, and ate some really delicious food. The whole night left me feeling entertained, content, and happy that my spouse and I have such a close friend from childhood still in our lives. He is like a brother to both of us.	neutral	journal
22	I spoke with my husband. He said he has not been feeling well. He feels like he needs to change some habits. I said I would help him with whatever he needed.	confusion	journal
23	My new exercise routine is a new dog! We walk literally miles and its great! Right now walking and house training her is the most important part of my day!	neutral	journal
24	Being with my family yesterday made me feel happy simply due to how we all spent time together. Being off social media made a big difference for us all to talk and laugh together. My oldest son spent a lot of time with his younger brother by playing with him. The sound of laughter was amazing and is not something that is a daily activity. To have us all together communicating and joking together was a great feeling and one that is not a daily activity.	joy	journal
25	Yesterday, I had a great conversation on the phone with my old friend, Matt.  We made plans for Friday night to get together and catch up.	neutral	journal
26	My mother makes batches of soups and chili's during the summer and stores them. It always s happy time when she breaks one out for dinners.	joy	journal
27	Having good health is the key to happiness. Everyone in my family is in good health and I thank God for this.	joy	journal
28	I had prayed for direction from the Most High about my new business and he led me to just the right information I need to know. That made me excited.	joy	journal
29	I used to love to draw but stopped after the kids were born and I didn't have much free time. Now my kids are older and both really like to draw. I decided now would be a good time to take it back up. I have been drawing for a few weeks and today was probably the best picture that I have done since I started. I was really pleased with how it came out.	joy	journal
30	I pray ever night for my friends and family. This gives me great satisfaction and comfort that God will look after these people.	neutral	journal
31	Things went quite well with my family yesterday. My wife made a wonderful dinner for us and with it being a rainy day the warm meal really made me feel loved. My kids were pleasant and we all had a fine time watching tv until bedtime.	neutral	journal
32	I was running a program and it worked well and I can finish my analysis.	joy	journal
33	I have the best family anyone could want. My beautiful wife made a great dinner and homemade pie, which I love. My daughter brought home a school project that she made all by herself, and got an A on. She was so proud and I felt even prouder of her. She's an amazing child and she'll do well in life.	pride	journal
34	I finally got in a good night's sleep. Recently, I had not been sleeping well and switched to a new natural sleep aid. I felt rested and energized. Finally.	pride	journal
35	I went to a scheduled appointment with my dermatologies yesterday for a laser treatment.  I had been told there was virtually no recovery time for this particular treatment, which proved to be the case.  I am alreay very pleased with the results an know they will be better with time.	surprise	journal
36	It was a great workout that made me feel worthwhile.	joy	journal
37	I am a Christian.  I pray a lot and rely on my faith, especially in hard times.  I went to the hospital to visit a sick friend.  We prayed together and I left feeling encouraged.	neutral	journal
38	I got to speak with a couple of my sisters and catch up a little bit.  It felt really good to talk to them and know what is going on in their lives.  I miss them when so much time goes by, but it was great to just catch up.  I was happy about that.	joy	journal
39	I was very excited to eat my meal. I had been looking forward to it all day.	excitement	journal
40	Being able to take care of my family's needs brings so much joy and happiness. They are the most important part of my day.	joy	journal
41	I am looking for a job in a new career field and ding self employed task work in the meantime both did not go well yesterday and created a frustrating experience	nervousness	journal
42	after yesterdays success, i and my team decided to have a special dinner. we went to a very good restaurant to celebrate. everything they had to offer felt very good and great. maybe it was due to the joy and happiness in the air. but the food was very much good.	joy	journal
43	We had a couple of crazy calls at night.  When I got up in the morning I realized what an interesting and exciting job that I have.	excitement	journal
