text	label	source	type
My family was the most salient part of my day, since most days the care of my 2 children occupies the majority of my time. They are 2 years old and 7 months and I love them, but they also require so much attention that my anxiety is higher than ever. I am often overwhelmed by the care the require, but at the same, I am so excited to see them hit developmental and social milestones.	joy	journal	paragraph
Yesterday, my family and I played a bunch of board games. My husband won most of them which is not surprising in the least. We played all sorts of games including Life, Clue, Mouse Trap and more. It was relaxing and such a happy, fun filled moment.	joy	journal	paragraph
Yesterday, I visited my parents and had dinner with them.  I hadn't seen them in a few weeks, so it was wonderful to see them and catch up on things.	joy	journal	paragraph
Yesterday, I really felt the importance of my health. I went on a bit longer hike than usual and was very happy that I could do so. It really made me appreciate my health. With all the news of people dying and the tragedy of the Utah family murder in Mexico, it really made me aware of the importance of my own health and well being.	joy	journal	paragraph
Yesterday, I had to go to work. It was my first day back to work after my weekend, so I was pretty frustrated and sad. It was a pretty boring day overall.	sadness	journal	paragraph
Yesterday, I got a lot of things ready for listing, and fielded many questions from potential buyers. I also did some surveys on Mturk. Woke up this morning to find that there are quite a few items that now have bids and will sell today and tomorrow, and also had 2 bonuses from surveys.	nervousness	journal	paragraph
Yesterday, I finished two of the requirements for the semester. I felt relieved because the requirements were hindering me from writing my MA thesis. I also felt proud because I was able to do the tasks with flying colors.	pride	journal	paragraph
yesterday work was like the good old days. There was so much to do and I barely had time to think. I like being busy and overwhlemed and work has been terribly boring and slow lately. Yesterday was a good day.	joy	journal	paragraph
Yesterday was the sixth of the month so I read the sixth chapter of Proverbs.  The wisdom gift that God gave to Solomon is passed on to me through this writing.  I felt a great connection over the centuries to God's intervention in this man's life.	joy	journal	paragraph
Yesterday was my husband's birthday, and since we'd done the whole revelry thing the day before we spent it peacefully in bed watching pointless TV shows.	joy	journal	paragraph
yesterday was my daughters first birthday and it was such a happy event! we opened her presents and gave her a giant cupcake to eat all to herself. Me and my family had a blast celebrating this milestone in my daughters life.	joy	journal	paragraph
Yesterday was my birthday and I spent it with my family which is the most important thing in my life. I felt loved and pampered as if I was the most important thing in their lives as well	joy	journal	paragraph
"Yesterday was my ""PULL DAY"" in my workout routine. I was able to achieve 50 pull ups with 65 lbs hanging from my waist on my dip belt. I went up in weight from last week and felt great!"	joy	journal	paragraph
Yesterday was a very productive day at work for me. I finished all of my work for my real-world job very quickly, and was able to also make over $100 on Mechanical Turk, which will help tremendously with getting out from under some past due bills currently weighing on me.	joy	journal	paragraph
Yesterday was a very informative day with my son and daughter-in-law. My son told me he was starting a new semester at school and he would be enrolling on his day off Friday. My daughter-in-law was very happy yesterday and offered to bring me newspapers from work which she could get free from her boss. All in all a very pleasant day.	pride	journal	paragraph
"Yesterday was a great day at work! My client was great with expressing his desire to gain my attention. I taught him yesterday how to say ""hi"" to gain attention of adults and by the end of the day, he was saying ""hi"" to every adult that passed through the clinic!"	joy	journal	paragraph
Yesterday was a bad day for diverticular disease, I couldn't eat, and I was in a lot of pain. Still, I was able to function through it, and I know that if I'm patient the pain will go away eventually. I just wish there was a more permanent solution.	sadness	journal	paragraph
Yesterday there was enough turk work for a change. It has been very slow recently. At least I have a chance of meeting my bill payments next week but I have to sit on the computer every possible second to grab possible work.	nervousness	journal	paragraph
Yesterday my wife and I found out that our infertility treatment will be covered by insurance.	joy	journal	paragraph
Yesterday my oldest daughter had her first high school weight lifting meet of the season.  This event was the result of many of many hours of hard work.  She did very well coming in second place in her weight class.	joy	journal	paragraph
Yesterday my children and grand children came over for a cook out. I had not seem them all together for a few weeks so it was great to get them all together. I have a son, daughter and three grandchildren, two boys and a girl.	joy	journal	paragraph
