text	label	source	type
>The ABC’s hard-hitting investigation :/ Such a sad article.	sadness	goemotions	sentence
Sure but what are you basing that off of? If [NAME] is the best jump-ball receiver, wouldn't that make him the best red zone receiver?	confusion	goemotions	sentence
Today I feel sad at work. I feel anxious because I have too much to do. I feel so overwhelmed	sadness	journal	paragraph
Yesterday, I really felt the importance of my health. I went on a bit longer hike than usual and was very happy that I could do so. It really made me appreciate my health. With all the news of people dying and the tragedy of the Utah family murder in Mexico, it really made me aware of the importance of my own health and well being.	joy	journal	paragraph
She is probably cheating on you. :(	sadness	goemotions	sentence
Working being able to use my skills and knowledge for the benefit and growth of our company.	pride	journal	paragraph
Not knowing what it is, for one thing.	confusion	goemotions	sentence
Go play Farmville if you can't keep it up.	anger	goemotions	sentence
Gotta go fast! [NAME]	excitement	goemotions	sentence
Hand ur phone to a buddy and let them send the text asking her out. Worst thing is she says no, but it's better then not knowing 	disgust	goemotions	sentence
My day yesterday was pretty average and to me average is good. I prefer things to be uneventful and nothing bad happened to me so I can't really say that it was a bad day! I feel good about the work that I did and I was satisfied with myself.	pride	journal	paragraph
Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now.	sadness	journal	paragraph
Yesterday was my husband's birthday, and since we'd done the whole revelry thing the day before we spent it peacefully in bed watching pointless TV shows.	joy	journal	paragraph
The most salient thing from yesterday was how we are a family (wife and 3 kids) but as of recent we have been very distant from each other so the household is cold and callous. Just last month our house was loud and boisterous, now its silent and uncomfortable.	sadness	journal	paragraph
What a homie.	surprise	goemotions	sentence
What makes you say that?	anger	goemotions	sentence
Integrated, Antwaarps speaking, second generation, not already wearing a scarf back then... unlikely. 	disgust	goemotions	sentence
Especially with the way they got rid of him... no real fanfare at all...	excitement	goemotions	sentence
>fail at reading comprehension >Other guy must be a troll ¯_(ツ)_/¯	disgust	goemotions	sentence
I don't really know how to explain because English is not my first language, I'm sorry.	sadness	goemotions	sentence
Because the content creators don't deserve to be paid, your seconds spent listening to ads are too valuable!	confusion	goemotions	sentence
The possibilities are fascinating. In other times, I'd be enjoying watching the lawyers argue...!	joy	goemotions	sentence
Yesterday, I had to go to work. It was my first day back to work after my weekend, so I was pretty frustrated and sad. It was a pretty boring day overall.	sadness	journal	paragraph
My friend recently told me about a promotion he'd gotten. I was proud and happy for him, but I was also jealousy. I've been working on a promotion myself for a year now, and there's no sign it's coming any time soon.	pride	journal	paragraph
Dark and funny, but not really nice guy. He has yet to call the dead girls whores for declining to sleep with him. 	disgust	goemotions	sentence
Am I the only INTP here who cared about deadlines. It's how I got so good at crunch time and working last minute.	confusion	goemotions	sentence
Shut up 15 year-old	anger	goemotions	sentence
Yesterday, I finished two of the requirements for the semester. I felt relieved because the requirements were hindering me from writing my MA thesis. I also felt proud because I was able to do the tasks with flying colors.	pride	journal	paragraph
Yesterday was my birthday and I spent it with my family which is the most important thing in my life. I felt loved and pampered as if I was the most important thing in their lives as well	joy	journal	paragraph
Today at work I had the chance to catalog a $40k book which was a prized possession of my boss. It was just about falling apart but I was able to flip through, translate some German and get it up online for sale. My boss was pleased.	pride	journal	paragraph
I bought the double barrel and fully upgraded it and now it's one of my favorite guns.	pride	goemotions	sentence
This is why we love Football!!!	excitement	goemotions	sentence
But but r/49ers said it was just bad luck!	sadness	goemotions	sentence
My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money.	sadness	journal	paragraph
Well they called and said there was a pricing discrepancy and they could not honor it. 😭 sad day.	sadness	goemotions	sentence
Yesterday, I visited my parents and had dinner with them.  I hadn't seen them in a few weeks, so it was wonderful to see them and catch up on things.	joy	journal	paragraph
yesterday was my daughters first birthday and it was such a happy event! we opened her presents and gave her a giant cupcake to eat all to herself. Me and my family had a blast celebrating this milestone in my daughters life.	joy	journal	paragraph
The [NAME] are all laughing at each other. They are divided. We need to strike them down while they are weak.	joy	goemotions	sentence
Be ready to Experience Canes Hockey	excitement	goemotions	sentence
Today I was very sick. It seems everybody I know has a cold and I thought I was above it but no. I had some orange juice and went back to bed. Not a good day.	sadness	journal	paragraph
My work is what keeps me going. It makes me useful  providing a platform for me to offer my services.	excitement	journal	paragraph
My son's girlfriend stayed home from work today. She was acting odd all day. I could tell something was wrong but did not know what.  My husband came home from work later and he was focused on his friends at work. He didn't want to talk about the kids or anything.  I felt alone and sad.  Basically I felt invisible.	sadness	journal	paragraph
This just makes me feel inferior at this point.	sadness	goemotions	sentence
By far the coolest thing I've seen on this thread yet	joy	goemotions	sentence
My son received early admission to the college of his choice today! In addition he received a scholarship!	pride	journal	paragraph
What does Clemson give pride stickers for? Snaps played?	confusion	goemotions	sentence
Which totally makes it less funny for a person like me who has never seen this before, and laughed. 	joy	goemotions	sentence
I really like this ring so I’m glad to hear that.	joy	goemotions	sentence
You’re right. My biggest pet peeve is the lights, it washes out all the colors and textures, I hate that BGs use them	disgust	goemotions	sentence
People who hate [NAME] really really hate him. It’s quite fascinating.	surprise	goemotions	sentence
>They split up 5 years later after an extremely messy situation with Dr [NAME]. Very very long story. I would like to hear this story	disgust	goemotions	sentence
I thought it was very good. The guy was one sick bastard that’s for sure.	anger	goemotions	sentence
Ugly truth is, if you didnt want to be stopped you wouldnt tell anyone. It will pass. Stay strong :)	confusion	goemotions	sentence
Y'all really out here supporting authoritarian Venezuelan dictators huh.	confusion	goemotions	sentence
And only $300+ a night, beautiful but expensive.	surprise	goemotions	sentence
shockingly close to reality.	surprise	goemotions	sentence
"Yesterday was my ""PULL DAY"" in my workout routine. I was able to achieve 50 pull ups with 65 lbs hanging from my waist on my dip belt. I went up in weight from last week and felt great!"	joy	journal	paragraph
Something's wrong. The top post on r/conspiracy isn't completely anti-conspiracy? Wow, feels weird. /s(?)	surprise	goemotions	sentence
Today I had a good and easy day. Everything in the department was taken care of and no new issues came up.	pride	journal	paragraph
Who still unironically says SJWs? You look like an idiot saying that.	confusion	goemotions	sentence
That is odd.	disgust	goemotions	sentence
Wow I bet someone would look at this and get inspired to make a movie about aliens with [NAME]	excitement	goemotions	sentence
My family was the most salient part of my day, since most days the care of my 2 children occupies the majority of my time. They are 2 years old and 7 months and I love them, but they also require so much attention that my anxiety is higher than ever. I am often overwhelmed by the care the require, but at the same, I am so excited to see them hit developmental and social milestones.	joy	journal	paragraph
was able to meet up with my girlfriend after a week of not seeing her. I was very excited.	excitement	journal	paragraph
Man.. all I know is if I’m with a girl and she whips out a condom from her FUCKING SHOE it’s a no from me dog	disgust	goemotions	sentence
Me too! First time in a couple of years!	joy	goemotions	sentence
Yesterday was a very informative day with my son and daughter-in-law. My son told me he was starting a new semester at school and he would be enrolling on his day off Friday. My daughter-in-law was very happy yesterday and offered to bring me newspapers from work which she could get free from her boss. All in all a very pleasant day.	pride	journal	paragraph
I went to the gym after work instead of just sitting and watching tv and felt good to get out of the house	excitement	journal	paragraph
Cant wait to hear a hot take from the second dumbest people who ever loved ([NAME] ots the first if you are asking)	excitement	goemotions	sentence
The answers in the Bible are God speaking to me which gives me directioncomfort joyhappinesspeace goodnessgentlenessmeeknesstemperance	excitement	journal	paragraph
"""Seeeee! We have one of them coloureds too!"""	excitement	goemotions	sentence
No we're getting Kinsler and be happy with it	joy	goemotions	sentence
Hypocritical is pot calling the kettle genocide	disgust	goemotions	sentence
Yesterday was a bad day for diverticular disease, I couldn't eat, and I was in a lot of pain. Still, I was able to function through it, and I know that if I'm patient the pain will go away eventually. I just wish there was a more permanent solution.	sadness	journal	paragraph
Oh whoops, I misread the original comment	confusion	goemotions	sentence
I'm tired of having bad food. It's like there is nothing in the kitchen. Oatmeal was ok but to follow it up with tuna and mayo for lunch made me feel ill. Then sloppy joes for dinner? Too strange of a combination for me. Makes me angry.	anger	journal	paragraph
Omg lala a housewife I can’t even imagine!	surprise	goemotions	sentence
>not a cure-all. Since we don't have such a thing, is this not the next best option?	confusion	goemotions	sentence
Yesterday, my family and I played a bunch of board games. My husband won most of them which is not surprising in the least. We played all sorts of games including Life, Clue, Mouse Trap and more. It was relaxing and such a happy, fun filled moment.	joy	journal	paragraph
his traps hide the fucking sun.	anger	goemotions	sentence
[NAME] did a photo shoot with the first presidency. Hilarious	pride	goemotions	sentence
Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting really happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.	anger	journal	paragraph
Yesterday I was sick with a stomach bug. I spent all day in bed and barely eating, and it was overall a pretty miserable day.	disgust	journal	paragraph
Lol. Build your own or make some tweaks to the printer.	anger	goemotions	sentence
In an effort to continue to try new things as it relates to freelance work I did a gig yesterday for a show being setup in Tampa. I found that the lady that hired me treats workers as slaves, talks down to us, and doesn't appear to believe any of use had brains. I'm not certain if this was based on previous experiences or her personality, but it made for a long ten hour day and many frustrations. I never walk out on jobs, because I believe I can learn something new from every experience and try to do this with each undertaking. Tomorrow is a fresh day with new horizons to conquer, so let's see what it brings.	confusion	journal	paragraph
ohhh....	surprise	goemotions	sentence
Yeah, and there's no better way to make a market more competitive than to regulate it more...	surprise	goemotions	sentence
THE MARKETING TEAM MET TO REVIEW AND REVISE OUR MARKETING PROGRAM FOR THE COMPANY. THE PROGRESS WE MADE WAS EXCLENT AND I AM PROUD BEING THE LEADER OF THIS TEAM.	excitement	journal	paragraph
Makes me sad I'll never be with a beautiful woman.	sadness	goemotions	sentence
For real! It was like a shining beacon in the night!	excitement	goemotions	sentence
Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?	anger	journal	paragraph
This is me and my wife. She squeals with delight whenever it snows and I start looking for property in Arizona.	joy	goemotions	sentence
Allow me to describe the shock and awe I experienced seeing this: **Fuck no why u do this?**	anger	goemotions	sentence
You need HELP!	surprise	goemotions	sentence
Yesterday I worked on a way for my family to see my private photos on Flickr without registering on the site. I found out that anonymous guests can see the photos but they can't comment. And the comments are the main reason for the photo-sharing! Very frustrating.	confusion	journal	paragraph
My family is crazy I have a aunt that never stops I told her yesterday that am done dealing with this am done frighting with everyone over this I cant' make other people do what she wants or what is right and then my sister one is the cause of all our problems the other just cares about herself and friends but then she gose crazy if anyone say anything about the problems thst my other sister caused	sadness	journal	paragraph
Press fucken charges the moment they use your info.	anger	goemotions	sentence
yesterday work was like the good old days. There was so much to do and I barely had time to think. I like being busy and overwhlemed and work has been terribly boring and slow lately. Yesterday was a good day.	joy	journal	paragraph
My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refillling all of the bird feeders.  It is very enjoyable work for me.  I love being outdoors.  It's also exercise as I built up a sweat once or twice.  When I was through, it looked and felt like a good accomplishment.  The yard looks great and our curb appeal is really good.	pride	journal	paragraph
The work yesterday was different than most of days. I had some issues and the deadline was approaching. I almost missed it. Luckily I have the best co-workers that helped me out before I have asked for any help.	surprise	journal	paragraph
Great! Can't wait :)	excitement	goemotions	sentence
Only thing TO know is that this motherfucker is obviously living his best birdy life and good for him. Fly high little buddy, fly high. 	anger	goemotions	sentence
Yesterday was the sixth of the month so I read the sixth chapter of Proverbs.  The wisdom gift that God gave to Solomon is passed on to me through this writing.  I felt a great connection over the centuries to God's intervention in this man's life.	joy	journal	paragraph
"""Oh, how DARE you discuss the disgustingly unhealthy and dangerous lifestyle I pursue!"" /s"	anger	goemotions	sentence
Ironic. He could save others from secrecy-enabled corruption, but not himself.	surprise	goemotions	sentence
Im 13 I can't get a job..	sadness	goemotions	sentence
Would feel weird swiping right on a leftie	disgust	goemotions	sentence
my work is important and noticeable but extremely boring.   I would like a different job but it does pay the bills and gives me less headaches than other jobs.	disgust	journal	paragraph
So happy for [NAME]. So sad he's not here. Imagine this team with [NAME] instead of [NAME]. Ugh.	joy	goemotions	sentence
Soooo [NAME] is f**ked	sadness	goemotions	sentence
That game hurt.	sadness	goemotions	sentence
What a rollercoaster	excitement	goemotions	sentence
Sending love and strength vibes <3	joy	goemotions	sentence
So I helped my Aunt move some things out of my friends house on quite short notice, and the overall sense I had after the task was done was that I felt very reliable. I was pleased that I could be so useful and reliable as a source of free labor, and that I was willing to help a stranger with no questions asked.	pride	journal	paragraph
