text	label	source	type
That game hurt.	sadness	goemotions	sentence
That is odd.	disgust	goemotions	sentence
What does Clemson give pride stickers for? Snaps played?	confusion	goemotions	sentence
"""Seeeee! We have one of them coloureds too!"""	excitement	goemotions	sentence
So happy for [NAME]. So sad he's not here. Imagine this team with [NAME] instead of [NAME]. Ugh.	joy	goemotions	sentence
Dark and funny, but not really nice guy. He has yet to call the dead girls whores for declining to sleep with him. 	disgust	goemotions	sentence
Because the content creators don't deserve to be paid, your seconds spent listening to ads are too valuable!	confusion	goemotions	sentence
By far the coolest thing I've seen on this thread yet	joy	goemotions	sentence
>not a cure-all. Since we don't have such a thing, is this not the next best option?	confusion	goemotions	sentence
Oh whoops, I misread the original comment	confusion	goemotions	sentence
Sending love and strength vibes <3	joy	goemotions	sentence
Not knowing what it is, for one thing.	confusion	goemotions	sentence
Me too! First time in a couple of years!	joy	goemotions	sentence
Ironic. He could save others from secrecy-enabled corruption, but not himself.	surprise	goemotions	sentence
"""Oh, how DARE you discuss the disgustingly unhealthy and dangerous lifestyle I pursue!"" /s"	anger	goemotions	sentence
Which totally makes it less funny for a person like me who has never seen this before, and laughed. 	joy	goemotions	sentence
Press fucken charges the moment they use your info.	anger	goemotions	sentence
Am I the only INTP here who cared about deadlines. It's how I got so good at crunch time and working last minute.	confusion	goemotions	sentence
Shut up 15 year-old	anger	goemotions	sentence
I thought it was very good. The guy was one sick bastard that’s for sure.	anger	goemotions	sentence
No we're getting Kinsler and be happy with it	joy	goemotions	sentence
Be ready to Experience Canes Hockey	excitement	goemotions	sentence
shockingly close to reality.	surprise	goemotions	sentence
Hypocritical is pot calling the kettle genocide	disgust	goemotions	sentence
Omg lala a housewife I can’t even imagine!	surprise	goemotions	sentence
Great! Can't wait :)	excitement	goemotions	sentence
Cant wait to hear a hot take from the second dumbest people who ever loved ([NAME] ots the first if you are asking)	excitement	goemotions	sentence
Lol. Build your own or make some tweaks to the printer.	anger	goemotions	sentence
I really like this ring so I’m glad to hear that.	joy	goemotions	sentence
The [NAME] are all laughing at each other. They are divided. We need to strike them down while they are weak.	joy	goemotions	sentence
Allow me to describe the shock and awe I experienced seeing this: **Fuck no why u do this?**	anger	goemotions	sentence
Integrated, Antwaarps speaking, second generation, not already wearing a scarf back then... unlikely. 	disgust	goemotions	sentence
his traps hide the fucking sun.	anger	goemotions	sentence
Only thing TO know is that this motherfucker is obviously living his best birdy life and good for him. Fly high little buddy, fly high. 	anger	goemotions	sentence
>fail at reading comprehension >Other guy must be a troll ¯_(ツ)_/¯	disgust	goemotions	sentence
The possibilities are fascinating. In other times, I'd be enjoying watching the lawyers argue...!	joy	goemotions	sentence
Sure but what are you basing that off of? If [NAME] is the best jump-ball receiver, wouldn't that make him the best red zone receiver?	confusion	goemotions	sentence
People who hate [NAME] really really hate him. It’s quite fascinating.	surprise	goemotions	sentence
Especially with the way they got rid of him... no real fanfare at all...	excitement	goemotions	sentence
Something's wrong. The top post on r/conspiracy isn't completely anti-conspiracy? Wow, feels weird. /s(?)	surprise	goemotions	sentence
I bought the double barrel and fully upgraded it and now it's one of my favorite guns.	pride	goemotions	sentence
Makes me sad I'll never be with a beautiful woman.	sadness	goemotions	sentence
What makes you say that?	anger	goemotions	sentence
Go play Farmville if you can't keep it up.	anger	goemotions	sentence
What a rollercoaster	excitement	goemotions	sentence
This is me and my wife. She squeals with delight whenever it snows and I start looking for property in Arizona.	joy	goemotions	sentence
You’re right. My biggest pet peeve is the lights, it washes out all the colors and textures, I hate that BGs use them	disgust	goemotions	sentence
