text	label
[NAME] did a photo shoot with the first presidency. Hilarious	pride
She is probably cheating on you. :(	sadness
My work is what keeps me going. It makes me useful  providing a platform for me to offer my services.	excitement
The answers in the Bible are God speaking to me which gives me directioncomfort joyhappinesspeace goodnessgentlenessmeeknesstemperance	excitement
My day yesterday was pretty average and to me average is good. I prefer things to be uneventful and nothing bad happened to me so I can't really say that it was a bad day! I feel good about the work that I did and I was satisfied with myself.	pride
What does Clemson give pride stickers for? Snaps played?	confusion
"""Seeeee! We have one of them coloureds too!"""	excitement
Yesterday was a very informative day with my son and daughter-in-law. My son told me he was starting a new semester at school and he would be enrolling on his day off Friday. My daughter-in-law was very happy yesterday and offered to bring me newspapers from work which she could get free from her boss. All in all a very pleasant day.	pride
I really like this ring so I’m glad to hear that.	joy
Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now.	sadness
My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refillling all of the bird feeders.  It is very enjoyable work for me.  I love being outdoors.  It's also exercise as I built up a sweat once or twice.  When I was through, it looked and felt like a good accomplishment.  The yard looks great and our curb appeal is really good.	pride
yesterday was my daughters first birthday and it was such a happy event! we opened her presents and gave her a giant cupcake to eat all to herself. Me and my family had a blast celebrating this milestone in my daughters life.	joy
Lol. Build your own or make some tweaks to the printer.	anger
Sending love and strength vibes <3	joy
>fail at reading comprehension >Other guy must be a troll ¯_(ツ)_/¯	disgust
>The ABC’s hard-hitting investigation :/ Such a sad article.	sadness
Hypocritical is pot calling the kettle genocide	disgust
Shut up 15 year-old	anger
Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting really happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.	anger
Y'all really out here supporting authoritarian Venezuelan dictators huh.	confusion
"""Oh, how DARE you discuss the disgustingly unhealthy and dangerous lifestyle I pursue!"" /s"	anger
This is me and my wife. She squeals with delight whenever it snows and I start looking for property in Arizona.	joy
Yesterday was my husband's birthday, and since we'd done the whole revelry thing the day before we spent it peacefully in bed watching pointless TV shows.	joy
This is why we love Football!!!	excitement
I went to the gym after work instead of just sitting and watching tv and felt good to get out of the house	excitement
