	model	error_type	target	specific_error	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../final/models/models_2nd_run/model2_10	Sentence	anger	Missing Complete Thought	1.0	0.5	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5
1	../final/models/models_2nd_run/model2_10	Sentence	anger	Missing Object	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	../final/models/models_2nd_run/model2_10	Sentence	anger	Missing Subject	1.0	0.3333333333333333	0.5	1.0	0.3333333333333333	0.5	0.3333333333333333
3	../final/models/models_2nd_run/model2_10	Sentence	confusion	Missing Complete Thought	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	../final/models/models_2nd_run/model2_10	Sentence	confusion	Missing Object	1.0	0.25	0.4	1.0	0.25	0.4	0.25
5	../final/models/models_2nd_run/model2_10	Sentence	confusion	Missing Subject	1.0	0.25	0.4	1.0	0.25	0.4	0.25
6	../final/models/models_2nd_run/model2_10	Sentence	disgust	Missing Complete Thought	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	../final/models/models_2nd_run/model2_10	Sentence	disgust	Missing Object	1.0	0.3333333333333333	0.5	1.0	0.3333333333333333	0.5	0.3333333333333333
8	../final/models/models_2nd_run/model2_10	Sentence	disgust	Missing Subject	1.0	0.6	0.75	1.0	0.6	0.75	0.6
9	../final/models/models_2nd_run/model2_10	Sentence	embarrassment	Missing Object	1.0	0.3333333333333333	0.5	1.0	0.3333333333333333	0.5	0.3333333333333333
10	../final/models/models_2nd_run/model2_10	Sentence	embarrassment	Missing Subject	1.0	0.5	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5
11	../final/models/models_2nd_run/model2_10	Sentence	excitement	Missing Complete Thought	1.0	0.2413793103448276	0.3888888888888889	1.0	0.2413793103448276	0.3888888888888889	0.2413793103448276
12	../final/models/models_2nd_run/model2_10	Sentence	excitement	Missing Object	1.0	0.2777777777777778	0.43478260869565216	1.0	0.2777777777777778	0.43478260869565216	0.2777777777777778
13	../final/models/models_2nd_run/model2_10	Sentence	excitement	Missing Subject	1.0	0.37142857142857144	0.5416666666666666	1.0	0.37142857142857144	0.5416666666666666	0.37142857142857144
14	../final/models/models_2nd_run/model2_10	Sentence	fear	Missing Complete Thought	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	../final/models/models_2nd_run/model2_10	Sentence	fear	Missing Object	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	../final/models/models_2nd_run/model2_10	Sentence	fear	Missing Subject	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	../final/models/models_2nd_run/model2_10	Sentence	joy	Missing Complete Thought	1.0	0.22727272727272727	0.37037037037037035	1.0	0.22727272727272727	0.37037037037037035	0.22727272727272727
18	../final/models/models_2nd_run/model2_10	Sentence	joy	Missing Object	1.0	0.2857142857142857	0.4444444444444444	1.0	0.2857142857142857	0.4444444444444444	0.2857142857142857
19	../final/models/models_2nd_run/model2_10	Sentence	joy	Missing Subject	1.0	0.45	0.6206896551724138	1.0	0.45	0.6206896551724138	0.45
20	../final/models/models_2nd_run/model2_10	Sentence	nervousness	Missing Complete Thought	1.0	0.6	0.75	1.0	0.6	0.75	0.6
21	../final/models/models_2nd_run/model2_10	Sentence	nervousness	Missing Object	1.0	0.23076923076923078	0.375	1.0	0.23076923076923078	0.375	0.23076923076923078
22	../final/models/models_2nd_run/model2_10	Sentence	nervousness	Missing Subject	1.0	0.5833333333333334	0.7368421052631579	1.0	0.5833333333333334	0.7368421052631579	0.5833333333333334
23	../final/models/models_2nd_run/model2_10	Sentence	neutral	Missing Complete Thought	1.0	0.559322033898305	0.717391304347826	1.0	0.559322033898305	0.717391304347826	0.559322033898305
24	../final/models/models_2nd_run/model2_10	Sentence	neutral	Missing Object	1.0	0.5	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5
25	../final/models/models_2nd_run/model2_10	Sentence	neutral	Missing Subject	1.0	0.4857142857142857	0.6538461538461539	1.0	0.4857142857142857	0.6538461538461539	0.4857142857142857
26	../final/models/models_2nd_run/model2_10	Sentence	pride	Missing Complete Thought	1.0	0.30612244897959184	0.46875	1.0	0.30612244897959184	0.46875	0.30612244897959184
