	model	error_type	target	specific_error	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../final/models/models_2nd_run/model2_10	Sentence	anger	Missing Complete Thought	1.0	0.17297297297297298	0.29493087557603687	1.0	0.17297297297297298	0.29493087557603687	0.17297297297297298
1	../final/models/models_2nd_run/model2_10	Sentence	anger	Missing Object	1.0	0.1837837837837838	0.3105022831050228	1.0	0.1837837837837838	0.3105022831050228	0.1837837837837838
2	../final/models/models_2nd_run/model2_10	Sentence	anger	Missing Subject	1.0	0.31891891891891894	0.48360655737704916	1.0	0.31891891891891894	0.48360655737704916	0.31891891891891894
3	../final/models/models_2nd_run/model2_10	Sentence	confusion	Missing Complete Thought	1.0	0.6432432432432432	0.7828947368421053	1.0	0.6432432432432432	0.7828947368421053	0.6432432432432432
4	../final/models/models_2nd_run/model2_10	Sentence	confusion	Missing Object	1.0	0.6918918918918919	0.8178913738019169	1.0	0.6918918918918919	0.8178913738019169	0.6918918918918919
5	../final/models/models_2nd_run/model2_10	Sentence	confusion	Missing Subject	1.0	0.6270270270270271	0.770764119601329	1.0	0.6270270270270271	0.770764119601329	0.6270270270270271
6	../final/models/models_2nd_run/model2_10	Sentence	disgust	Missing Complete Thought	1.0	0.7351351351351352	0.8473520249221184	1.0	0.7351351351351352	0.8473520249221184	0.7351351351351352
7	../final/models/models_2nd_run/model2_10	Sentence	disgust	Missing Object	1.0	0.7243243243243244	0.8401253918495298	1.0	0.7243243243243244	0.8401253918495298	0.7243243243243244
8	../final/models/models_2nd_run/model2_10	Sentence	disgust	Missing Subject	1.0	0.7567567567567568	0.8615384615384616	1.0	0.7567567567567568	0.8615384615384616	0.7567567567567568
9	../final/models/models_2nd_run/model2_10	Sentence	embarrassment	Missing Complete Thought	1.0	0.5081081081081081	0.6738351254480287	1.0	0.5081081081081081	0.6738351254480287	0.5081081081081081
10	../final/models/models_2nd_run/model2_10	Sentence	embarrassment	Missing Object	1.0	0.4810810810810811	0.6496350364963503	1.0	0.4810810810810811	0.6496350364963503	0.4810810810810811
11	../final/models/models_2nd_run/model2_10	Sentence	embarrassment	Missing Subject	1.0	0.5351351351351351	0.6971830985915493	1.0	0.5351351351351351	0.6971830985915493	0.5351351351351351
12	../final/models/models_2nd_run/model2_10	Sentence	excitement	Missing Complete Thought	1.0	0.9297297297297298	0.9635854341736695	1.0	0.9297297297297298	0.9635854341736695	0.9297297297297298
13	../final/models/models_2nd_run/model2_10	Sentence	excitement	Missing Object	1.0	0.9351351351351351	0.9664804469273743	1.0	0.9351351351351351	0.9664804469273743	0.9351351351351351
14	../final/models/models_2nd_run/model2_10	Sentence	excitement	Missing Subject	1.0	0.9891891891891892	0.9945652173913043	1.0	0.9891891891891892	0.9945652173913043	0.9891891891891892
15	../final/models/models_2nd_run/model2_10	Sentence	fear	Missing Complete Thought	1.0	0.4756756756756757	0.6446886446886447	1.0	0.4756756756756757	0.6446886446886447	0.4756756756756757
16	../final/models/models_2nd_run/model2_10	Sentence	fear	Missing Object	1.0	0.5891891891891892	0.7414965986394558	1.0	0.5891891891891892	0.7414965986394558	0.5891891891891892
17	../final/models/models_2nd_run/model2_10	Sentence	fear	Missing Subject	1.0	0.5513513513513514	0.710801393728223	1.0	0.5513513513513514	0.710801393728223	0.5513513513513514
18	../final/models/models_2nd_run/model2_10	Sentence	joy	Missing Complete Thought	1.0	0.1783783783783784	0.30275229357798167	1.0	0.1783783783783784	0.30275229357798167	0.1783783783783784
19	../final/models/models_2nd_run/model2_10	Sentence	joy	Missing Object	1.0	0.16756756756756758	0.28703703703703703	1.0	0.16756756756756758	0.28703703703703703	0.16756756756756758
20	../final/models/models_2nd_run/model2_10	Sentence	joy	Missing Subject	1.0	0.4540540540540541	0.6245353159851301	1.0	0.4540540540540541	0.6245353159851301	0.4540540540540541
21	../final/models/models_2nd_run/model2_10	Sentence	nervousness	Missing Complete Thought	1.0	0.8216216216216217	0.9020771513353115	1.0	0.8216216216216217	0.9020771513353115	0.8216216216216217
22	../final/models/models_2nd_run/model2_10	Sentence	nervousness	Missing Object	1.0	0.8810810810810811	0.9367816091954023	1.0	0.8810810810810811	0.9367816091954023	0.8810810810810811
23	../final/models/models_2nd_run/model2_10	Sentence	nervousness	Missing Subject	1.0	0.9891891891891892	0.9945652173913043	1.0	0.9891891891891892	0.9945652173913043	0.9891891891891892
24	../final/models/models_2nd_run/model2_10	Sentence	neutral	Missing Complete Thought	1.0	0.9945945945945946	0.997289972899729	1.0	0.9945945945945946	0.997289972899729	0.9945945945945946
25	../final/models/models_2nd_run/model2_10	Sentence	neutral	Missing Object	1.0	1.0	1.0	1.0	1.0	1.0	1.0
26	../final/models/models_2nd_run/model2_10	Sentence	neutral	Missing Subject	1.0	0.9621621621621622	0.9807162534435262	1.0	0.9621621621621622	0.9807162534435262	0.9621621621621622
27	../final/models/models_2nd_run/model2_10	Sentence	pride	Missing Complete Thought	1.0	0.7135135135135136	0.832807570977918	1.0	0.7135135135135136	0.832807570977918	0.7135135135135136
28	../final/models/models_2nd_run/model2_10	Sentence	pride	Missing Object	1.0	0.7621621621621621	0.8650306748466258	1.0	0.7621621621621621	0.8650306748466258	0.7621621621621621
29	../final/models/models_2nd_run/model2_10	Sentence	pride	Missing Subject	1.0	0.5027027027027027	0.6690647482014388	1.0	0.5027027027027027	0.6690647482014388	0.5027027027027027
30	../final/models/models_2nd_run/model2_10	Sentence	sadness	Missing Complete Thought	1.0	0.8432432432432433	0.9149560117302052	1.0	0.8432432432432433	0.9149560117302052	0.8432432432432433
31	../final/models/models_2nd_run/model2_10	Sentence	sadness	Missing Object	1.0	0.9459459459459459	0.9722222222222222	1.0	0.9459459459459459	0.9722222222222222	0.9459459459459459
32	../final/models/models_2nd_run/model2_10	Sentence	sadness	Missing Subject	1.0	0.772972972972973	0.8719512195121951	1.0	0.772972972972973	0.8719512195121951	0.772972972972973
33	../final/models/models_2nd_run/model2_10	Sentence	surprise	Missing Complete Thought	1.0	0.9459459459459459	0.9722222222222222	1.0	0.9459459459459459	0.9722222222222222	0.9459459459459459
34	../final/models/models_2nd_run/model2_10	Sentence	surprise	Missing Object	1.0	0.972972972972973	0.9863013698630136	1.0	0.972972972972973	0.9863013698630136	0.972972972972973
35	../final/models/models_2nd_run/model2_10	Sentence	surprise	Missing Subject	1.0	1.0	1.0	1.0	1.0	1.0	1.0
36	../final/models/models_2nd_run/model2_10	Word	anger	Adjacent Key	1.0	0.32608695652173914	0.4918032786885246	1.0	0.32608695652173914	0.4918032786885246	0.32608695652173914
37	../final/models/models_2nd_run/model2_10	Word	anger	Missing Letter	1.0	0.35507246376811596	0.5240641711229946	1.0	0.35507246376811596	0.5240641711229946	0.35507246376811596
38	../final/models/models_2nd_run/model2_10	Word	anger	Repeating Letter	1.0	0.3695652173913043	0.5396825396825397	1.0	0.3695652173913043	0.5396825396825397	0.3695652173913043
39	../final/models/models_2nd_run/model2_10	Word	anger	Scrambled Letter	1.0	0.35507246376811596	0.5240641711229946	1.0	0.35507246376811596	0.5240641711229946	0.35507246376811596
40	../final/models/models_2nd_run/model2_10	Word	confusion	Adjacent Key	1.0	0.5869565217391305	0.7397260273972602	1.0	0.5869565217391305	0.7397260273972602	0.5869565217391305
41	../final/models/models_2nd_run/model2_10	Word	confusion	Missing Letter	1.0	0.6594202898550725	0.7947598253275109	1.0	0.6594202898550725	0.7947598253275109	0.6594202898550725
42	../final/models/models_2nd_run/model2_10	Word	confusion	Repeating Letter	1.0	0.6086956521739131	0.7567567567567568	1.0	0.6086956521739131	0.7567567567567568	0.6086956521739131
43	../final/models/models_2nd_run/model2_10	Word	confusion	Scrambled Letter	1.0	0.6594202898550725	0.7947598253275109	1.0	0.6594202898550725	0.7947598253275109	0.6594202898550725
44	../final/models/models_2nd_run/model2_10	Word	disgust	Adjacent Key	1.0	0.7536231884057971	0.859504132231405	1.0	0.7536231884057971	0.859504132231405	0.7536231884057971
45	../final/models/models_2nd_run/model2_10	Word	disgust	Missing Letter	1.0	0.6956521739130435	0.8205128205128205	1.0	0.6956521739130435	0.8205128205128205	0.6956521739130435
46	../final/models/models_2nd_run/model2_10	Word	disgust	Repeating Letter	1.0	0.7463768115942029	0.8547717842323651	1.0	0.7463768115942029	0.8547717842323651	0.7463768115942029
47	../final/models/models_2nd_run/model2_10	Word	disgust	Scrambled Letter	1.0	0.7753623188405797	0.8734693877551021	1.0	0.7753623188405797	0.8734693877551021	0.7753623188405797
48	../final/models/models_2nd_run/model2_10	Word	embarrassment	Adjacent Key	1.0	0.5217391304347826	0.6857142857142857	1.0	0.5217391304347826	0.6857142857142857	0.5217391304347826
49	../final/models/models_2nd_run/model2_10	Word	embarrassment	Missing Letter	1.0	0.6304347826086957	0.7733333333333333	1.0	0.6304347826086957	0.7733333333333333	0.6304347826086957
50	../final/models/models_2nd_run/model2_10	Word	embarrassment	Repeating Letter	1.0	0.572463768115942	0.728110599078341	1.0	0.572463768115942	0.728110599078341	0.572463768115942
51	../final/models/models_2nd_run/model2_10	Word	embarrassment	Scrambled Letter	1.0	0.4855072463768116	0.6536585365853659	1.0	0.4855072463768116	0.6536585365853659	0.4855072463768116
52	../final/models/models_2nd_run/model2_10	Word	excitement	Adjacent Key	1.0	0.9565217391304348	0.9777777777777777	1.0	0.9565217391304348	0.9777777777777777	0.9565217391304348
53	../final/models/models_2nd_run/model2_10	Word	excitement	Missing Letter	1.0	0.9782608695652174	0.989010989010989	1.0	0.9782608695652174	0.989010989010989	0.9782608695652174
54	../final/models/models_2nd_run/model2_10	Word	excitement	Repeating Letter	1.0	0.9782608695652174	0.989010989010989	1.0	0.9782608695652174	0.989010989010989	0.9782608695652174
55	../final/models/models_2nd_run/model2_10	Word	excitement	Scrambled Letter	1.0	0.9782608695652174	0.989010989010989	1.0	0.9782608695652174	0.989010989010989	0.9782608695652174
56	../final/models/models_2nd_run/model2_10	Word	fear	Adjacent Key	1.0	0.4782608695652174	0.6470588235294118	1.0	0.4782608695652174	0.6470588235294118	0.4782608695652174
57	../final/models/models_2nd_run/model2_10	Word	fear	Missing Letter	1.0	0.5362318840579711	0.6981132075471698	1.0	0.5362318840579711	0.6981132075471698	0.5362318840579711
58	../final/models/models_2nd_run/model2_10	Word	fear	Repeating Letter	1.0	0.5652173913043478	0.7222222222222222	1.0	0.5652173913043478	0.7222222222222222	0.5652173913043478
59	../final/models/models_2nd_run/model2_10	Word	fear	Scrambled Letter	1.0	0.5797101449275363	0.7339449541284404	1.0	0.5797101449275363	0.7339449541284404	0.5797101449275363
60	../final/models/models_2nd_run/model2_10	Word	joy	Adjacent Key	1.0	0.2028985507246377	0.3373493975903614	1.0	0.2028985507246377	0.3373493975903614	0.2028985507246377
61	../final/models/models_2nd_run/model2_10	Word	joy	Missing Letter	1.0	0.14492753623188406	0.25316455696202533	1.0	0.14492753623188406	0.25316455696202533	0.14492753623188406
62	../final/models/models_2nd_run/model2_10	Word	joy	Repeating Letter	1.0	0.18840579710144928	0.3170731707317073	1.0	0.18840579710144928	0.3170731707317073	0.18840579710144928
