	model	error_type	target	specific_error	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../final/models/models_2nd_run/model3_35	Sentence	anger	Missing Complete Thought	1.0	0.5	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5
1	../final/models/models_2nd_run/model3_35	Sentence	anger	Missing Object	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	../final/models/models_2nd_run/model3_35	Sentence	anger	Missing Subject	1.0	0.5	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5
3	../final/models/models_2nd_run/model3_35	Sentence	confusion	Missing Complete Thought	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	../final/models/models_2nd_run/model3_35	Sentence	confusion	Missing Object	1.0	0.5	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5
5	../final/models/models_2nd_run/model3_35	Sentence	confusion	Missing Subject	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	../final/models/models_2nd_run/model3_35	Sentence	disgust	Missing Complete Thought	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	../final/models/models_2nd_run/model3_35	Sentence	disgust	Missing Object	1.0	0.3333333333333333	0.5	1.0	0.3333333333333333	0.5	0.3333333333333333
8	../final/models/models_2nd_run/model3_35	Sentence	disgust	Missing Subject	1.0	0.8	0.8888888888888888	1.0	0.8	0.8888888888888888	0.8
9	../final/models/models_2nd_run/model3_35	Sentence	embarrassment	Missing Object	1.0	0.16666666666666666	0.2857142857142857	1.0	0.16666666666666666	0.2857142857142857	0.16666666666666666
10	../final/models/models_2nd_run/model3_35	Sentence	embarrassment	Missing Subject	1.0	0.5	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5
11	../final/models/models_2nd_run/model3_35	Sentence	excitement	Missing Complete Thought	1.0	0.27586206896551724	0.43243243243243246	1.0	0.27586206896551724	0.43243243243243246	0.27586206896551724
12	../final/models/models_2nd_run/model3_35	Sentence	excitement	Missing Object	1.0	0.2222222222222222	0.36363636363636365	1.0	0.2222222222222222	0.36363636363636365	0.2222222222222222
13	../final/models/models_2nd_run/model3_35	Sentence	excitement	Missing Subject	1.0	0.22857142857142856	0.37209302325581395	1.0	0.22857142857142856	0.37209302325581395	0.22857142857142856
14	../final/models/models_2nd_run/model3_35	Sentence	fear	Missing Complete Thought	1.0	0.5	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5
15	../final/models/models_2nd_run/model3_35	Sentence	fear	Missing Object	1.0	0.5	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5
16	../final/models/models_2nd_run/model3_35	Sentence	fear	Missing Subject	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	../final/models/models_2nd_run/model3_35	Sentence	joy	Missing Complete Thought	1.0	0.5681818181818182	0.7246376811594203	1.0	0.5681818181818182	0.7246376811594203	0.5681818181818182
18	../final/models/models_2nd_run/model3_35	Sentence	joy	Missing Object	1.0	0.5238095238095238	0.6875	1.0	0.5238095238095238	0.6875	0.5238095238095238
19	../final/models/models_2nd_run/model3_35	Sentence	joy	Missing Subject	1.0	0.6166666666666667	0.7628865979381443	1.0	0.6166666666666667	0.7628865979381443	0.6166666666666667
20	../final/models/models_2nd_run/model3_35	Sentence	nervousness	Missing Complete Thought	1.0	0.3	0.46153846153846156	1.0	0.3	0.46153846153846156	0.3
