	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	anger	1.0	0.7272727272727273	0.8421052631578947	1.0	0.7272727272727273	0.8421052631578947	0.7272727272727273
1	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	confusion	1.0	0.8791946308724832	0.9357142857142857	1.0	0.8791946308724832	0.9357142857142857	0.8791946308724832
2	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	disgust	1.0	0.635593220338983	0.7772020725388601	1.0	0.635593220338983	0.7772020725388601	0.635593220338983
3	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	embarrassment	1.0	0.40540540540540543	0.5769230769230769	1.0	0.40540540540540543	0.5769230769230769	0.40540540540540543
4	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	excitement	1.0	0.6601941747572816	0.7953216374269005	1.0	0.6601941747572816	0.7953216374269005	0.6601941747572816
5	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	fear	1.0	0.7432432432432432	0.8527131782945736	1.0	0.7432432432432432	0.8527131782945736	0.7432432432432432
6	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	joy	1.0	0.8163265306122449	0.898876404494382	1.0	0.8163265306122449	0.898876404494382	0.8163265306122449
7	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	nervousness	1.0	0.5217391304347826	0.6857142857142857	1.0	0.5217391304347826	0.6857142857142857	0.5217391304347826
8	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	neutral	1.0	0.5803571428571429	0.7344632768361582	1.0	0.5803571428571429	0.7344632768361582	0.5803571428571429
9	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	pride	1.0	0.5	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5
10	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	sadness	1.0	0.7905405405405406	0.8830188679245283	1.0	0.7905405405405406	0.8830188679245283	0.7905405405405406
11	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	surprise	1.0	0.6742424242424242	0.8054298642533937	1.0	0.6742424242424242	0.8054298642533937	0.6742424242424242
