	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	anger	1.0	0.2608695652173913	0.41379310344827586	1.0	0.2608695652173913	0.41379310344827586	0.2608695652173913
1	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	confusion	1.0	0.047619047619047616	0.09090909090909091	1.0	0.047619047619047616	0.09090909090909091	0.047619047619047616
2	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	disgust	1.0	0.3157894736842105	0.48	1.0	0.3157894736842105	0.48	0.3157894736842105
3	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	embarrassment	1.0	0.3333333333333333	0.5	1.0	0.3333333333333333	0.5	0.3333333333333333
4	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	excitement	1.0	0.3165137614678899	0.4808362369337979	1.0	0.3165137614678899	0.4808362369337979	0.3165137614678899
5	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	fear	1.0	0.058823529411764705	0.1111111111111111	1.0	0.058823529411764705	0.1111111111111111	0.058823529411764705
6	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	joy	1.0	0.5051903114186851	0.671264367816092	1.0	0.5051903114186851	0.671264367816092	0.5051903114186851
7	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	nervousness	1.0	0.5616438356164384	0.7192982456140351	1.0	0.5616438356164384	0.7192982456140351	0.5616438356164384
8	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	neutral	1.0	0.6468531468531469	0.7855626326963907	1.0	0.6468531468531469	0.7855626326963907	0.6468531468531469
9	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	pride	1.0	0.46875	0.6382978723404256	1.0	0.46875	0.6382978723404256	0.46875
10	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	sadness	1.0	0.1935483870967742	0.32432432432432434	1.0	0.1935483870967742	0.32432432432432434	0.1935483870967742
11	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	surprise	1.0	0.08771929824561403	0.16129032258064516	1.0	0.08771929824561403	0.16129032258064516	0.08771929824561403
